time	V(p001)
	1.837761e+002	4.260170e+001
	1.851667e+002	4.269766e+001
	1.862842e+002	4.277467e+001
	1.873592e+002	4.284867e+001
	1.879117e+002	4.288668e+001
	1.886792e+002	4.293943e+001
	1.886808e+002	4.293954e+001
	1.886827e+002	4.293966e+001
	1.906277e+002	4.307317e+001
	1.906320e+002	4.307347e+001
	1.906883e+002	4.307732e+001
	1.920220e+002	4.316872e+001
	1.920242e+002	4.316887e+001
	1.920330e+002	4.316946e+001
	1.924852e+002	4.320042e+001
	1.924920e+002	4.320089e+001
	1.933945e+002	4.326263e+001
	1.937161e+002	4.328462e+001
	1.937167e+002	4.328466e+001
	1.937255e+002	4.328526e+001
	1.961967e+002	4.345398e+001
	1.970092e+002	4.350935e+001
	1.978286e+002	4.356516e+001
	1.988311e+002	4.363337e+001
	1.999224e+002	4.370754e+001
	1.999267e+002	4.370784e+001
	2.000942e+002	4.371922e+001
	2.015249e+002	4.381631e+001
	2.022648e+002	4.386649e+001
	2.022653e+002	4.386652e+001
	2.022672e+002	4.386664e+001
	2.024268e+002	4.387746e+001
	2.042193e+002	4.399882e+001
	2.058956e+002	4.411211e+001
	2.063518e+002	4.414291e+001
	2.070493e+002	4.418998e+001
	2.072768e+002	4.420532e+001
	2.072784e+002	4.420543e+001
	2.072792e+002	4.420548e+001
	2.072795e+002	4.420550e+001
	2.072814e+002	4.420563e+001
	2.072839e+002	4.420580e+001
	2.074201e+002	4.421498e+001
	2.074270e+002	4.421545e+001
	2.075742e+002	4.422537e+001
	2.078317e+002	4.424273e+001
	2.080004e+002	4.425410e+001
	2.080979e+002	4.426067e+001
	2.096842e+002	4.436747e+001
	2.124754e+002	4.455499e+001
	2.124764e+002	4.455505e+001
	2.124801e+002	4.455530e+001
	2.126139e+002	4.456427e+001
	2.128026e+002	4.457693e+001
	2.128826e+002	4.458230e+001
	2.128858e+002	4.458251e+001
	2.128895e+002	4.458276e+001
	2.140820e+002	4.466268e+001
	2.154395e+002	4.475355e+001
	2.178942e+002	4.491755e+001
	2.180542e+002	4.492822e+001
	2.180586e+002	4.492851e+001
	2.180761e+002	4.492968e+001
	2.182161e+002	4.493902e+001
	2.209992e+002	4.512442e+001
	2.227017e+002	4.523758e+001
	2.227086e+002	4.523804e+001
	2.227823e+002	4.524294e+001
	2.236761e+002	4.530226e+001
	2.264636e+002	4.548695e+001
	2.292020e+002	4.566790e+001
	2.298726e+002	4.571214e+001
	2.300551e+002	4.572417e+001
	2.300560e+002	4.572423e+001
	2.300569e+002	4.572429e+001
	2.300578e+002	4.572435e+001
	2.300587e+002	4.572441e+001
	2.300596e+002	4.572447e+001
	2.300605e+002	4.572453e+001
	2.300614e+002	4.572459e+001
	2.318914e+002	4.584513e+001
	2.323101e+002	4.587268e+001
	2.346701e+002	4.602776e+001
	2.368714e+002	4.617208e+001
	2.374408e+002	4.620936e+001
	2.376195e+002	4.622106e+001
	2.376211e+002	4.622116e+001
	2.376217e+002	4.622120e+001
	2.376229e+002	4.622128e+001
	2.376233e+002	4.622130e+001
	2.376239e+002	4.622134e+001
	2.376243e+002	4.622137e+001
	2.376250e+002	4.622141e+001
	2.376254e+002	4.622144e+001
	2.376261e+002	4.622149e+001
	2.376273e+002	4.622157e+001
	2.393048e+002	4.633126e+001
	2.393064e+002	4.633136e+001
	2.393070e+002	4.633140e+001
	2.393083e+002	4.633148e+001
	2.393108e+002	4.633165e+001
	2.399958e+002	4.637638e+001
	2.400001e+002	4.637667e+001
	2.400026e+002	4.637683e+001
	2.404239e+002	4.640433e+001
	2.404826e+002	4.640816e+001
	2.404842e+002	4.640826e+001
	2.404861e+002	4.640839e+001
	2.410561e+002	4.644558e+001
	2.420061e+002	4.650751e+001
	2.426086e+002	4.654676e+001
	2.430398e+002	4.657483e+001
	2.430692e+002	4.657674e+001
	2.433136e+002	4.659265e+001
	2.445483e+002	4.667295e+001
	2.450073e+002	4.670279e+001
